City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Portales,US,2022-06-01 16:11:18,34.1862,-103.3344,62.13,58,26,14.05
171,Erenhot,CN,2022-06-01 16:11:18,43.6475,111.9767,72.9,19,22,8.93
172,Srednekolymsk,RU,2022-06-01 16:11:18,67.45,153.6833,58.17,56,100,6.8
173,Barra Do Garcas,BR,2022-06-01 16:11:19,-15.89,-52.2567,94.05,23,2,5.91
174,Longhua,CN,2022-06-01 16:11:19,23.6137,114.1919,77.29,94,100,2.13
175,Kathu,TH,2022-06-01 16:11:20,7.9178,98.3332,83.7,99,97,20.54
176,Cravo Norte,CO,2022-06-01 16:11:21,6.3017,-70.2041,88.2,48,85,7.07
177,Bangangte,CM,2022-06-01 16:11:21,5.1409,10.5198,69.64,86,59,0.38
178,Plettenberg Bay,ZA,2022-06-01 16:11:21,-34.0527,23.3716,58.73,74,19,6.93
179,Hervey Bay,AU,2022-06-01 16:11:22,-25.2986,152.8535,60.03,63,97,7.0
180,Vestmannaeyjar,IS,2022-06-01 16:11:22,63.4427,-20.2734,52.79,87,20,13.8
181,Yulara,AU,2022-06-01 16:11:23,-25.2406,130.9889,49.84,100,100,5.75
182,Alofi,NU,2022-06-01 16:11:23,-19.0595,-169.9187,78.4,75,10,22.28
183,Uarini,BR,2022-06-01 16:11:24,-2.99,-65.1083,83.75,71,99,3.27
184,Bistret,RO,2022-06-01 16:11:24,43.9,23.5,84.83,40,70,4.09
185,Topi,PK,2022-06-01 16:11:25,34.0704,72.6236,85.44,23,5,10.92
186,Ust-Ishim,RU,2022-06-01 16:11:25,57.6935,71.1665,52.79,46,12,11.27
187,Champasak,LA,2022-06-01 16:11:25,14.75,106.0,75.63,97,96,1.86
188,Bilibino,RU,2022-06-01 16:12:26,68.0546,166.4372,52.56,55,100,5.77
189,Todos Santos,MX,2022-06-01 16:09:05,23.45,-110.2167,72.07,62,13,7.34
190,Tura,IN,2022-06-01 16:12:26,25.5198,90.2201,73.71,94,7,4.25
191,Vila Velha,BR,2022-06-01 16:12:28,-20.3297,-40.2925,82.35,82,20,9.22
192,Teknaf,BD,2022-06-01 16:12:28,20.8624,92.3058,80.19,84,96,5.41
193,Sorland,NO,2022-06-01 16:12:29,67.667,12.6934,51.66,74,100,16.96
194,Yambio,SS,2022-06-01 16:12:29,4.5721,28.3955,69.33,91,94,4.09
195,Puerto Ayora,EC,2022-06-01 16:12:30,-0.7393,-90.3518,78.76,85,90,10.83
196,Vanavara,RU,2022-06-01 16:12:30,60.34,102.2797,47.41,70,80,4.81
197,Iqaluit,CA,2022-06-01 16:12:30,63.7506,-68.5145,34.7,69,94,4.0
198,Shirokiy,RU,2022-06-01 16:12:31,49.758,129.523,49.1,98,100,9.53
199,Aswan,EG,2022-06-01 16:12:31,24.0934,32.907,100.9,10,25,13.53
200,Vanimo,PG,2022-06-01 16:12:31,-2.6741,141.3028,76.8,88,7,5.57
201,Gurupi,BR,2022-06-01 16:12:32,-11.7292,-49.0686,92.71,32,0,8.66
202,French Harbor,HN,2022-06-01 16:12:32,16.35,-86.4333,81.0,77,100,7.02
203,Labuhan,ID,2022-06-01 16:12:33,-6.8844,112.2051,79.25,85,51,5.44
204,Chokurdakh,RU,2022-06-01 16:12:33,70.6333,147.9167,39.06,92,100,11.3
205,Tuatapere,NZ,2022-06-01 16:12:34,-46.1333,167.6833,51.96,91,98,3.83
206,Bucerias,MX,2022-06-01 16:12:34,20.75,-105.3333,80.98,73,75,4.61
207,Dukat,RU,2022-06-01 16:12:34,62.55,155.55,35.02,91,100,6.85
208,Castro,BR,2022-06-01 16:12:35,-24.7911,-50.0119,60.21,97,100,6.82
209,Saldanha,ZA,2022-06-01 16:12:35,-33.0117,17.9442,59.47,75,0,6.64
210,Ust-Nera,RU,2022-06-01 16:12:35,64.5667,143.2,52.18,79,100,6.24
211,Agua Verde,MX,2022-06-01 16:12:36,22.9,-106.05,78.89,63,35,11.34
212,Tabou,CI,2022-06-01 16:12:36,4.423,-7.3528,81.18,76,91,8.75
213,Bentiu,SS,2022-06-01 16:12:37,9.2333,29.8333,92.82,33,87,9.42
214,Kattivakkam,IN,2022-06-01 16:12:37,13.2167,80.3167,91.49,83,30,13.91
215,Huron,US,2022-06-01 16:09:42,41.1501,-82.5499,85.44,65,89,15.64
216,Gayny,RU,2022-06-01 16:12:38,60.3071,54.3241,63.54,56,6,2.75
217,Gariaband,IN,2022-06-01 16:12:38,20.635,82.0614,89.56,23,73,4.59
218,La Ronge,CA,2022-06-01 16:12:38,55.1001,-105.2842,47.17,50,100,17.98
219,Vao,NC,2022-06-01 16:12:39,-22.6667,167.4833,75.42,84,81,11.5
220,Callaguip,PH,2022-06-01 16:12:39,18.0714,120.4867,80.91,79,100,3.94
221,Faanui,PF,2022-06-01 16:12:39,-16.4833,-151.75,79.03,73,100,13.38
222,Matadi,CD,2022-06-01 16:12:40,-5.8167,13.45,88.84,52,4,1.86
223,Vostok,RU,2022-06-01 16:12:40,46.4856,135.8833,41.38,97,65,5.19
224,Isilkul,RU,2022-06-01 16:12:41,54.9109,71.2728,54.3,62,15,10.96
225,Bagotville,AU,2022-06-01 16:12:41,-28.9833,153.4167,49.64,65,99,6.85
226,Laguna,US,2022-06-01 16:09:31,38.421,-121.4238,78.31,42,0,6.91
227,Ndele,CF,2022-06-01 16:12:42,8.4109,20.6473,86.5,51,43,1.19
228,Hovd,MN,2022-06-01 16:12:42,48.0056,91.6419,60.64,41,60,16.87
229,Flinders,AU,2022-06-01 16:08:38,-34.5833,150.8552,51.19,69,3,4.0
230,Warah,PK,2022-06-01 16:12:43,27.4481,67.7978,102.02,4,19,9.48
231,Flagstaff,US,2022-06-01 16:12:43,35.1981,-111.6513,69.53,25,0,6.91
232,Hermanus,ZA,2022-06-01 16:12:43,-34.4187,19.2345,59.81,85,52,4.36
233,Abbeville,FR,2022-06-01 16:12:44,50.1,1.8333,65.5,56,3,8.88
234,Awbari,LY,2022-06-01 16:13:44,26.5921,12.7805,100.42,11,3,13.47
235,Pisco,PE,2022-06-01 16:13:44,-13.7,-76.2167,66.25,72,34,12.66
236,Rio Negrinho,BR,2022-06-01 16:13:45,-26.2544,-49.5183,53.94,100,100,1.7
237,Sironj,IN,2022-06-01 16:13:45,24.1,77.7,99.79,15,93,4.65
238,Touros,BR,2022-06-01 16:09:58,-5.1989,-35.4608,84.31,68,37,12.77
239,Port-Gentil,GA,2022-06-01 16:13:46,-0.7193,8.7815,78.76,83,75,13.8
240,Bonavista,CA,2022-06-01 16:13:46,48.6499,-53.1147,41.22,98,100,14.5
241,Mount Gambier,AU,2022-06-01 16:13:46,-37.8333,140.7667,47.1,73,89,3.47
242,Coquimbo,CL,2022-06-01 16:13:47,-29.9533,-71.3436,55.13,71,100,4.61
243,Ormara,PK,2022-06-01 16:13:47,25.2088,64.6357,82.58,84,0,19.35
244,Chapleau,CA,2022-06-01 16:13:47,47.8405,-83.4034,53.53,65,96,10.94
245,Marrakesh,MA,2022-06-01 16:11:48,31.6315,-8.0083,89.67,27,0,5.75
246,Santa Cruz,BO,2022-06-01 16:09:47,-17.8,-63.1667,56.66,94,100,11.5
247,Victoria,HK,2022-06-01 16:11:41,22.2855,114.1577,84.38,81,83,5.99
248,Veliki Preslav,BG,2022-06-01 16:13:48,43.1667,26.8167,77.32,62,74,4.18
249,Yangambi,CD,2022-06-01 16:13:49,0.8102,24.4336,77.25,80,85,3.18
250,Sabha,LY,2022-06-01 16:13:49,27.0377,14.4283,99.32,10,1,16.8
251,Damghan,IR,2022-06-01 16:13:50,36.1683,54.348,81.23,20,36,3.27
252,Port Hardy,CA,2022-06-01 16:13:50,50.6996,-127.4199,50.18,93,100,4.61
253,Las Vigas,MX,2022-06-01 16:13:50,19.6333,-97.0833,62.37,63,4,5.53
254,Ubatuba,BR,2022-06-01 16:13:51,-23.4339,-45.0711,77.77,79,95,2.91
255,Shingu,JP,2022-06-01 16:13:51,33.7333,135.9833,61.83,71,100,4.68
256,Bubaque,GW,2022-06-01 16:13:52,11.2833,-15.8333,80.62,77,4,11.92
257,Palu,ID,2022-06-01 16:13:52,-0.8917,119.8707,75.4,96,76,2.19
258,Necochea,AR,2022-06-01 16:13:53,-38.5473,-58.7368,49.91,64,56,17.31
259,Houma,US,2022-06-01 16:13:53,29.5958,-90.7195,88.0,69,40,4.61
260,Honningsvag,NO,2022-06-01 16:13:54,70.9821,25.9704,51.55,66,0,6.91
261,Villerupt,FR,2022-06-01 16:13:54,49.4674,5.9329,67.03,44,11,5.99
262,Kapit,MY,2022-06-01 16:13:55,2.0167,112.9333,74.98,99,100,0.94
263,Quatre Cocos,MU,2022-06-01 16:13:55,-20.2078,57.7625,74.08,70,16,12.91
264,Tucuman,AR,2022-06-01 16:13:55,-26.8241,-65.2226,53.6,54,75,4.61
265,Acarau,BR,2022-06-01 16:13:56,-2.8856,-40.12,84.96,66,99,13.06
266,Riyadh,SA,2022-06-01 16:10:08,24.6877,46.7219,98.74,7,0,12.21
267,Banda Aceh,ID,2022-06-01 16:13:56,5.5577,95.3222,76.86,89,100,16.58
268,Olpad,IN,2022-06-01 16:13:57,21.3333,72.75,85.98,80,7,18.32
269,Caravelas,BR,2022-06-01 16:13:57,-17.7125,-39.2481,80.74,63,1,7.09
270,Arraial Do Cabo,BR,2022-06-01 16:13:57,-22.9661,-42.0278,78.66,78,20,11.5
271,Osakarovka,KZ,2022-06-01 16:13:58,50.565,72.5692,51.42,56,96,7.47
272,Bytow,PL,2022-06-01 16:13:58,54.1706,17.4919,53.2,77,100,9.13
273,Sola,VU,2022-06-01 16:13:58,-13.8833,167.55,81.03,78,40,12.41
274,Bambanglipuro,ID,2022-06-01 16:13:59,-7.95,110.2833,77.58,84,99,1.03
275,Nishihara,JP,2022-06-01 16:13:59,26.1842,127.7558,78.08,95,100,9.22
276,Ixtapa,MX,2022-06-01 16:13:59,20.7,-105.2,80.22,73,75,4.61
277,Saint-Pierre,RE,2022-06-01 16:14:00,-21.3393,55.4781,74.88,69,100,3.44
